match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
148,4,16/02/2025,2014/2015,A,2,12:25,MTS Rybnik,Bumerang,0,0,2025-03-15 21:34:17.235714,DRAW
149,4,16/02/2025,2014/2015,A,1,12:50,Skra Częstochowa,Bumerang,10,0,2025-03-15 21:34:17.235714,HOME WIN
150,4,16/02/2025,2014/2015,A,2,12:50,MTS Rybnik,Juventus A,2,2,2025-03-15 21:34:17.235714,DRAW
151,4,16/02/2025,2014/2015,B,1,13:30,Korona Dąbrowa,Espanyola Gliwice,1,1,2025-03-15 21:34:17.235714,DRAW
152,4,16/02/2025,2014/2015,B,2,13:30,UKS Talent,Polonia Lwy,1,3,2025-03-15 21:34:17.235714,AWAY WIN
153,4,16/02/2025,2014/2015,B,1,13:55,Korona Dąbrowa,UKS Talent,4,0,2025-03-15 21:34:17.235714,HOME WIN
154,4,16/02/2025,2014/2015,B,2,13:55,Espanyola Gliwice,Polonia Lwy,7,2,2025-03-15 21:34:17.235714,HOME WIN
155,4,16/02/2025,2014/2015,B,1,14:20,Korona Dąbrowa,Polonia Lwy,4,0,2025-03-15 21:34:17.235714,HOME WIN
156,4,16/02/2025,2014/2015,B,2,14:20,Espanyola Gliwice,UKS Talent,9,0,2025-03-15 21:34:17.235714,HOME WIN
157,4,16/02/2025,2014/2015,C,3,13:30,FA Sosnowiec,Strażak A,3,0,2025-03-15 21:34:17.235714,HOME WIN
158,4,16/02/2025,2014/2015,C,4,13:30,Polonia Bytom A,GKS Andaluzja,0,1,2025-03-15 21:34:17.235714,AWAY WIN
159,4,16/02/2025,2014/2015,C,3,13:55,FA Sosnowiec,Polonia Bytom A,3,0,2025-03-15 21:34:17.235714,HOME WIN
160,4,16/02/2025,2014/2015,C,4,13:55,Strażak A,GKS Andaluzja,0,4,2025-03-15 21:34:17.235714,AWAY WIN
161,4,16/02/2025,2014/2015,C,3,14:20,FA Sosnowiec,GKS Andaluzja,2,0,2025-03-15 21:34:17.235714,HOME WIN
162,4,16/02/2025,2014/2015,C,4,14:20,Strażak A,Polonia Bytom A,2,0,2025-03-15 21:34:17.235714,HOME WIN
163,4,16/02/2025,2014/2015,D,3,12:00,Active Janów,Juventus B,0,3,2025-03-15 21:34:17.235714,AWAY WIN
164,4,16/02/2025,2014/2015,D,4,12:00,Strażak B,Polonia Bytom B,1,0,2025-03-15 21:34:17.235714,HOME WIN
165,4,16/02/2025,2014/2015,D,3,12:25,Active Janów,Strażak B,0,3,2025-03-15 21:34:17.235714,AWAY WIN
166,4,16/02/2025,2014/2015,D,4,12:25,Juventus B,Polonia Bytom B,5,0,2025-03-15 21:34:17.235714,HOME WIN
167,4,16/02/2025,2014/2015,D,3,12:50,Active Janów,Polonia Bytom B,0,3,2025-03-15 21:34:17.235714,AWAY WIN
168,4,16/02/2025,2014/2015,D,4,12:50,Juventus B,Strażak B,1,1,2025-03-15 21:34:17.235714,DRAW
169,4,16/02/2025,2016/2017,A,1,10:30,Polonia 17A,Polonia 16A,2,1,2025-03-15 21:34:17.235714,HOME WIN
170,4,16/02/2025,2016/2017,A,2,10:30,GKS Szombierki A,UKS Talent,3,0,2025-03-15 21:34:17.235714,HOME WIN
171,4,16/02/2025,2016/2017,A,1,10:55,Polonia 17A,GKS Szombierki A,3,4,2025-03-15 21:34:17.235714,AWAY WIN
172,4,16/02/2025,2016/2017,A,2,10:55,Polonia 16A,UKS Talent,3,2,2025-03-15 21:34:17.235714,HOME WIN
173,4,16/02/2025,2016/2017,A,1,11:20,Polonia 17A,UKS Talent,7,0,2025-03-15 21:34:17.235714,HOME WIN
174,4,16/02/2025,2016/2017,A,2,11:20,Polonia 16A,GKS Szombierki A,3,3,2025-03-15 21:34:17.235714,DRAW
175,4,16/02/2025,2016/2017,B,1,09:00,APN GP Czeladź,Korona Dąbrowa,0,3,2025-03-15 21:34:17.235714,AWAY WIN
176,4,16/02/2025,2016/2017,B,2,09:00,Victoria Pilchowice,Polonia 16C,3,0,2025-03-15 21:34:17.235714,HOME WIN
177,4,16/02/2025,2016/2017,B,1,09:25,APN GP Czeladź,Victoria Pilchowice,0,3,2025-03-15 21:34:17.235714,AWAY WIN
178,4,16/02/2025,2016/2017,B,2,09:25,Korona Dąbrowa,Polonia 16C,1,1,2025-03-15 21:34:17.235714,DRAW
179,4,16/02/2025,2016/2017,B,1,09:50,APN GP Czeladź,Polonia 16C,0,3,2025-03-15 21:34:17.235714,AWAY WIN
180,4,16/02/2025,2016/2017,B,2,09:50,Korona Dąbrowa,Victoria Pilchowice,1,2,2025-03-15 21:34:17.235714,AWAY WIN
181,4,16/02/2025,2016/2017,C,3,10:30,Polonia 16B,FA Sosnowiec,1,5,2025-03-15 21:34:17.235714,AWAY WIN
182,4,16/02/2025,2016/2017,C,4,10:30,Naprzód Ryd.,Polonia 17B,5,1,2025-03-15 21:34:17.235714,HOME WIN
183,4,16/02/2025,2016/2017,C,3,10:55,Polonia 16B,Naprzód Ryd.,2,5,2025-03-15 21:34:17.235714,AWAY WIN
184,4,16/02/2025,2016/2017,C,4,10:55,FA Sosnowiec,Polonia 17B,5,0,2025-03-15 21:34:17.235714,HOME WIN
185,4,16/02/2025,2016/2017,C,3,11:20,Polonia 16B,Polonia 17B,6,1,2025-03-15 21:34:17.235714,HOME WIN
186,4,16/02/2025,2016/2017,C,4,11:20,FA Sosnowiec,Naprzód Ryd.,4,2,2025-03-15 21:34:17.235714,HOME WIN
188,4,16/02/2025,2016/2017,D,4,09:00,GKS Szombierki B,Polonia Lwy,3,2,2025-03-15 21:34:17.235714,HOME WIN
189,4,16/02/2025,2016/2017,D,3,09:25,Active Janów,GKS Szombierki B,0,3,2025-03-15 21:34:17.235714,AWAY WIN
190,4,16/02/2025,2016/2017,D,4,09:25,GKS Andaluzja,Polonia Lwy,0,3,2025-03-15 21:34:17.235714,AWAY WIN
191,4,16/02/2025,2016/2017,D,3,09:50,Active Janów,Polonia Lwy,0,3,2025-03-15 21:34:17.235714,AWAY WIN
192,4,16/02/2025,2016/2017,D,4,09:50,GKS Andaluzja,GKS Szombierki B,0,3,2025-03-15 21:34:17.235714,AWAY WIN
193,5,09/03/2025,2014/2015,A,1,12:00,Skra Częstochowa,Bumerang,2,1,2025-03-15 21:34:17.235714,HOME WIN
194,5,09/03/2025,2014/2015,A,2,12:00,Espanyola Gliwice,Korona Dąbrowa,0,2,2025-03-15 21:34:17.235714,AWAY WIN
195,5,09/03/2025,2014/2015,A,1,12:25,Skra Częstochowa,Espanyola Gliwice,5,1,2025-03-15 21:34:17.235714,HOME WIN
196,5,09/03/2025,2014/2015,A,2,12:25,Bumerang,Korona Dąbrowa,0,2,2025-03-15 21:34:17.235714,AWAY WIN
197,5,09/03/2025,2014/2015,A,1,12:50,Skra Częstochowa,Korona Dąbrowa,3,1,2025-03-15 21:34:17.235714,HOME WIN
198,5,09/03/2025,2014/2015,A,2,12:50,Bumerang,Espanyola Gliwice,2,2,2025-03-15 21:34:17.235714,DRAW
199,5,09/03/2025,2014/2015,B,1,13:30,MTS Rybnik,Juventus A,3,1,2025-03-15 21:34:17.235714,HOME WIN
200,5,09/03/2025,2014/2015,B,2,13:30,Polonia Lwy,FA Sosnowiec,2,2,2025-03-15 21:34:17.235714,DRAW
